method,feature,descriptor_mode,superpixel_cell_size,grid_x,grid_y,max_images,num_indexed,query_filename,query_categories,match_rank,match_filename,match_categories,shares_label,distance,index_time_ms,query_time_ms
SIFT_GLOBAL_10000,SIFT,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000044294.jpg,"bowl|knife|oven|refrigerator|scissors|sink",1,0.0593857,2.50563e+06,328.754
SIFT_GLOBAL_10000,SIFT,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000023405.jpg,"bicycle|person|stop sign",1,0.0712477,2.50563e+06,328.754
SIFT_GLOBAL_10000,SIFT,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000009113.jpg,"bowl|chair|couch|dining table|microwave|orange|oven|potted plant|sink|vase",1,0.0717298,2.50563e+06,328.754
SIFT_GLOBAL_10000,SIFT,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000044774.jpg,"bottle|bowl|cup|knife|microwave|person|pizza|refrigerator|scissors|sink|spoon",1,0.0717783,2.50563e+06,328.754
SIFT_GLOBAL_10000,SIFT,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000014138.jpg,"book|bowl|chair|couch|dog|vase",1,0.0738489,2.50563e+06,328.754
ORB_GLOBAL_10000,ORB,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000021994.jpg,"elephant",0,0.0292486,174469,111.796
ORB_GLOBAL_10000,ORB,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000043585.jpg,"dog",0,0.0297376,174469,111.796
ORB_GLOBAL_10000,ORB,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000032151.jpg,"person|suitcase",1,0.0297575,174469,111.796
ORB_GLOBAL_10000,ORB,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000005021.jpg,"handbag|person|teddy bear",1,0.0304114,174469,111.796
ORB_GLOBAL_10000,ORB,GLOBAL,0,0,0,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000027550.jpg,"sink|toilet",0,0.0304823,174469,111.796
SIFT_SUPERPIXEL_SPATIAL_8_10000,SIFT,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000022191.jpg,"toilet",0,1.2337,8.35045e+06,7257.48
SIFT_SUPERPIXEL_SPATIAL_8_10000,SIFT,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000022461.jpg,"bowl|dining table|spoon",1,1.23716,8.35045e+06,7257.48
SIFT_SUPERPIXEL_SPATIAL_8_10000,SIFT,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000024560.jpg,"teddy bear",0,1.2384,8.35045e+06,7257.48
SIFT_SUPERPIXEL_SPATIAL_8_10000,SIFT,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000001997.jpg,"",0,1.23851,8.35045e+06,7257.48
SIFT_SUPERPIXEL_SPATIAL_8_10000,SIFT,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000014759.jpg,"donut",0,1.23895,8.35045e+06,7257.48
ORB_SUPERPIXEL_SPATIAL_8_10000,ORB,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000039371.jpg,"toilet",0,0.967551,2.4175e+06,1588.23
ORB_SUPERPIXEL_SPATIAL_8_10000,ORB,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000024560.jpg,"teddy bear",0,0.979117,2.4175e+06,1588.23
ORB_SUPERPIXEL_SPATIAL_8_10000,ORB,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000032766.jpg,"airplane",0,0.991761,2.4175e+06,1588.23
ORB_SUPERPIXEL_SPATIAL_8_10000,ORB,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000047221.jpg,"bus|handbag|person",1,0.994913,2.4175e+06,1588.23
ORB_SUPERPIXEL_SPATIAL_8_10000,ORB,SUPERPIXEL_SPATIAL,8,32,32,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000028378.jpg,"boat",0,0.997668,2.4175e+06,1588.23
SIFT_SUPERPIXEL_SPATIAL_32_10000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000032328.jpg,"clock",1,0.771361,3.22839e+06,810.674
SIFT_SUPERPIXEL_SPATIAL_32_10000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000048226.jpg,"orange|person",1,0.772371,3.22839e+06,810.674
SIFT_SUPERPIXEL_SPATIAL_32_10000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000009420.jpg,"person|tie",1,0.775032,3.22839e+06,810.674
SIFT_SUPERPIXEL_SPATIAL_32_10000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000032102.jpg,"umbrella",0,0.779392,3.22839e+06,810.674
SIFT_SUPERPIXEL_SPATIAL_32_10000,SIFT,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000024755.jpg,"person|skis",1,0.780583,3.22839e+06,810.674
ORB_SUPERPIXEL_SPATIAL_32_10000,ORB,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000029327.jpg,"giraffe",0,0.530552,306832,153.929
ORB_SUPERPIXEL_SPATIAL_32_10000,ORB,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000040572.jpg,"toilet",0,0.575811,306832,153.929
ORB_SUPERPIXEL_SPATIAL_32_10000,ORB,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000010077.jpg,"zebra",0,0.581731,306832,153.929
ORB_SUPERPIXEL_SPATIAL_32_10000,ORB,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",4,000000031230.jpg,"book|cat|couch|person|potted plant|remote|teddy bear|tv",1,0.581844,306832,153.929
ORB_SUPERPIXEL_SPATIAL_32_10000,ORB,SUPERPIXEL_SPATIAL,32,8,8,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",5,000000014175.jpg,"fire hydrant|handbag|person",1,0.590509,306832,153.929
SIFT_SUPERPIXEL_SPATIAL_128_10000,SIFT,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",1,000000031537.jpg,"banana|book|bowl|chair|knife|oven|person",1,0.193913,1.08794e+06,188.969
SIFT_SUPERPIXEL_SPATIAL_128_10000,SIFT,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",2,000000039948.jpg,"book|couch|person|potted plant|remote|tv",1,0.195443,1.08794e+06,188.969
SIFT_SUPERPIXEL_SPATIAL_128_10000,SIFT,SUPERPIXEL_SPATIAL,128,2,2,10000,10000,000000000139.jpg,"book|chair|clock|dining table|microwave|person|potted plant|refrigerator|tv|vase",3,000000006407.jpg,"banana|person",1,0.1979,1.08794e+06,188.969
